"SampleID","SiteID","PlotID","TreeID","Position","newring","year","RW","EWW","LWW","distToMin","RD","minD","MXD","EWD","LWD","funkring"
"TW-1-146-2","TW","1","1-146","2",8,1939,2.16,1.89,0.270000000000002,0.72,423.769490740741,339.41,620.65,399.694391534392,592.295185185185,0
"TW-1-146-2","TW","1","1-146","2",9,1940,3.38,3.24,0.139999999999999,1.2,388.294763313609,301.6,625.06,378.916296296296,605.339285714286,0
"TW-1-146-2","TW","1","1-146","2",10,1941,2.95,2.74,0.209999999999999,0.91,462.651389830508,325.43,724.28,445.834270072993,682.074761904762,0
"TW-1-146-2","TW","1","1-146","2",11,1942,3.43,3.18,0.249999999999998,0.61,439.713265306122,347.83,689.67,423.030503144654,651.918,0
"TW-1-146-2","TW","1","1-146","2",12,1943,2.5,2.4,0.0999999999999963,1.12,400.81628,330.38,617.31,392.69825,595.649,0
"TW-1-146-2","TW","1","1-146","2",13,1944,2.47,2.28,0.19,1.61,395.458137651822,313.71,656.51,377.001666666667,616.935789473684,0
"TW-1-146-2","TW","1","1-146","2",14,1945,2.96,2.78,0.180000000000002,0.47,397.778445945946,313.14,661.03,383.040863309353,625.392222222222,0
"TW-1-146-2","TW","1","1-146","2",15,1946,1.81,1.66000000000001,0.150000000000001,0.34,428.23861878453,332.47,623.39,412.82578313253,598.807333333333,0
"TW-1-146-2","TW","1","1-146","2",16,1947,0.51,0.379999999999997,0.129999999999997,0.19,504.157647058823,392.89,636.77,469.254473684211,606.182307692308,0
"TW-1-146-2","TW","1","1-146","2",17,1948,0.960000000000003,0.790000000000001,0.169999999999997,0.27,502.521666666667,396.96,678.35,470.786075949367,649.998823529412,0
"TW-1-146-2","TW","1","1-146","2",18,1949,2.25,2.06,0.19,1.39,403.179422222222,317.49,642.49,384.316990291262,607.687894736842,0
"TW-1-146-2","TW","1","1-146","2",19,1950,1.31,1.23,0.0800000000000003,0.8,411.890992366412,290.15,634.64,400.119268292683,592.88125,0
"TW-1-146-2","TW","1","1-146","2",20,1951,1.27,1.2,0.0699999999999952,0.56,369.887795275591,280.32,553.04,361.21625,518.542857142857,0
"TW-1-146-2","TW","1","1-146","2",21,1952,2.14999999999999,2.03,0.119999999999999,0.26,355.753069767442,274.7,620.83,342.079507389163,587.064166666667,0
"TW-1-146-2","TW","1","1-146","2",22,1953,2.06,1.94,0.119999999999999,0.61,375.018495145631,291.34,643.2,360.581958762887,608.409166666667,0
"TW-1-146-2","TW","1","1-146","2",23,1954,2.44,2.32,0.119999999999999,0.68,368.775983606557,295.97,626.3,356.607629310345,604.030833333333,0
"TW-1-146-2","TW","1","1-146","2",24,1955,2.67999999999999,2.54,0.139999999999995,0.69,344.221641791045,270.55,569.94,334.144645669291,527.047142857143,0
"TW-1-146-2","TW","1","1-146","2",25,1956,0.989999999999997,0.799999999999999,0.19,0.51,408.778787878788,340.64,506,402.04675,437.124210526316,0
"TW-1-146-2","TW","1","1-146","2",26,1957,1.7,1.54,0.159999999999999,0.91,350.734705882353,281.22,528.21,335.207597402597,500.183125,0
"TW-1-146-2","TW","1","1-146","2",27,1958,1.93,1.72,0.210000000000003,0.78,358.222797927461,268.62,644.9,327.979941860465,605.926190476191,0
"TW-1-146-2","TW","1","1-146","2",28,1959,1.97,1.8,0.169999999999997,0.41,347.571065989848,262.84,547,335.640722222222,473.892352941176,0
"TW-1-146-2","TW","1","1-146","2",29,1960,1.14,1.03,0.110000000000001,0.44,319.679824561404,233.42,525.07,300.468737864078,499.565454545455,0
"TW-1-146-2","TW","1","1-146","2",30,1961,0.870000000000007,0.760000000000007,0.110000000000009,0.17,388.105747126437,308.18,537.07,370.141052631579,512.225454545455,0
"TW-1-146-2","TW","1","1-146","2",31,1962,1.53000000000001,1.39000000000001,0.14000000000001,0.52,351.589738562091,268.21,557.58,333.413165467626,532.057142857143,0
"TW-1-146-2","TW","1","1-146","2",32,1963,0.869999999999999,0.76,0.109999999999994,0.3,371.127011494253,289.45,545.99,349.995394736842,517.127272727273,0
"TW-1-146-2","TW","1","1-146","2",33,1964,1.09,0.969999999999994,0.119999999999999,0.26,337.100366972477,256.81,534.25,315.683711340206,510.218333333333,0
"TW-1-146-2","TW","1","1-146","2",34,1965,3.14,2.93999999999999,0.199999999999998,1.19,317.430891719745,251.28,548,303.726088435374,518.8915,0
"TW-1-146-2","TW","1","1-146","2",35,1966,2.79999999999999,2.67999999999999,0.119999999999999,1.11,343.584357142857,248.22,704.07,329.178246268657,665.320833333333,0
"TW-1-146-2","TW","1","1-146","2",36,1967,3.01999999999999,2.82999999999999,0.189999999999993,0.71,339.920099337748,251.42,637.31,322.35628975265,601.528421052632,0
"TW-1-146-2","TW","1","1-146","2",37,1968,2.60999999999999,2.46,0.149999999999986,0.92,359.891149425287,266.28,663.57,343.711869918699,625.231333333333,0
"TW-1-146-2","TW","1","1-146","2",38,1969,2.38,2.14,0.240000000000004,0.4,362.823067226891,285.82,579.75,342.697009345794,542.280416666667,0
"TW-1-146-2","TW","1","1-146","2",39,1970,2.19000000000001,2.00000000000001,0.190000000000007,0.63,354.073926940639,257.97,562.82,336.6114,537.89,0
"TW-1-146-2","TW","1","1-146","2",40,1971,1.53,1.37999999999999,0.150000000000001,0.3,389.21137254902,314.43,573.18,372.038260869565,547.204,0
"TW-1-146-2","TW","1","1-146","2",41,1972,2.23999999999999,2.12999999999999,0.109999999999994,0.91,347.872366071429,261.06,638.11,334.655305164319,603.802727272727,0
"TW-1-146-2","TW","1","1-146","2",42,1973,1.64,1.48,0.159999999999991,0.44,354.993292682927,254.49,590.49,332.730067567568,560.928125,0
"TW-1-146-2","TW","1","1-146","2",43,1974,1.82999999999999,1.7,0.12999999999999,0.4,387.751584699454,296.53,601.4,372.563647058824,586.363076923077,0
"TW-1-146-2","TW","1","1-146","2",44,1975,2.03,1.84,0.189999999999993,0.93,357.958177339901,272.69,552.45,342.142173913043,511.123684210526,0
"TW-1-146-2","TW","1","1-146","2",45,1976,2.51,2.32999999999999,0.180000000000002,0.46,366.26374501992,268.21,688.47,344.248884120172,651.233888888889,0
"TW-1-146-2","TW","1","1-146","2",46,1977,0.769999999999991,0.659999999999991,0.109999999999994,0.23,419.465324675325,328.87,592.05,403.523484848485,515.116363636364,0
"TW-1-146-2","TW","1","1-146","2",47,1978,1.43,1.28,0.150000000000001,0.19,363.856993006993,259.82,577.79,341.807109375,552.016,0
"TW-1-146-2","TW","1","1-146","2",48,1979,1.85,1.68,0.169999999999997,0.48,357.757459459459,261.33,593.86,336.001488095238,572.757647058824,0
"TW-1-146-2","TW","1","1-146","2",49,1980,1.48999999999999,1.35999999999999,0.12999999999999,0.25,368.921208053691,270.21,622.86,348.053676470588,587.227692307692,0
"TW-1-146-2","TW","1","1-146","2",50,1981,1.46,1.29,0.169999999999997,0.33,389.44397260274,300.83,575.99,367.92488372093,552.735882352941,0
"TW-1-146-2","TW","1","1-146","2",51,1982,1.39999999999999,1.24999999999999,0.149999999999986,0.18,387.199857142857,294.56,580.52,366.6904,558.112,0
"TW-1-146-2","TW","1","1-146","2",52,1983,1.65,1.48,0.169999999999997,0.59,359.321454545455,256.33,598.37,335.818918918919,563.931764705882,0
"TW-1-146-2","TW","1","1-146","2",53,1984,1.26999999999999,1.12999999999999,0.139999999999995,0.21,375.653307086614,288.75,583.7,353.811946902655,551.944285714286,0
"TW-1-146-2","TW","1","1-146","2",54,1985,1.55000000000001,1.42,0.130000000000005,0.39,344.564193548387,252.17,576.59,325.744154929577,550.136923076923,0
"TW-1-146-2","TW","1","1-146","2",55,1986,1.95,1.74,0.209999999999989,1.02,361.994461538462,273.52,625.68,335.579597701149,580.860476190476,0
"TW-1-146-2","TW","1","1-146","2",56,1987,1.79,1.64,0.150000000000001,0.41,386.718826815642,280.87,644.55,366.704390243902,605.543333333333,0
"TW-1-146-2","TW","1","1-146","2",57,1988,1.79999999999999,1.68999999999999,0.109999999999994,0.48,368.692666666667,273.73,688.1,350.014319526627,655.66,0
"TW-1-146-2","TW","1","1-146","2",58,1989,1.45,1.32,0.130000000000005,0.38,429.670413793103,321.06,652.18,410.533106060606,623.987692307692,0
"TW-1-146-2","TW","1","1-146","2",59,1990,1.68999999999999,1.60999999999999,0.0799999999999932,0.95,363.371065088757,288.19,664.66,349.764844720497,637.19625,0
"TW-1-146-2","TW","1","1-146","2",60,1991,1.74999999999999,1.64,0.109999999999994,0.4,372.798857142857,268.21,714.84,351.686646341463,687.562727272727,0
"TW-1-146-2","TW","1","1-146","2",61,1992,1.7,1.57999999999999,0.119999999999999,0.25,371.163764705882,268.83,676.24,351.135506329114,634.869166666667,0
"TW-1-146-2","TW","1","1-146","2",62,1993,1.53999999999999,1.43999999999999,0.0999999999999892,0.51,394.353246753247,296.25,691.61,376.809652777778,646.981,0
"TW-1-146-2","TW","1","1-146","2",63,1994,1.19000000000001,1.02000000000001,0.170000000000011,0.21,375.410588235294,282.26,588.43,350.316078431373,525.977647058824,0
"TW-1-146-2","TW","1","1-146","2",64,1995,1.58000000000001,1.45,0.130000000000005,0.18,351.687721518987,278.65,612.13,330.473793103448,588.304615384615,0
