site,species,stand,stand_old,plot,treatment,tree,dbh_in,ht,hcb,velocity,tree_ba,cr,ba_plot,ba_all,ba_plot_PP,ba
FT,PIPO,6,8,3,80,13,7.5,NA,NA,2.387,0.3067875,NA,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,6,8,3,80,10,6.1,NA,NA,2.428,0.20294334,NA,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,6,8,3,80,9,8.8,24.1,12.2,2.618,0.42235776,0.493775934,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,6,8,3,80,3,6.8,NA,NA,2.945,0.25219296,NA,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,6,8,3,80,6,6,NA,NA,2.978,0.196344,NA,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,6,8,3,80,4,6.1,NA,NA,3.212,0.20294334,NA,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,6,8,3,80,2,9,40.1,20.1,3.315,0.441774,0.498753117,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,6,8,3,80,23,6,NA,NA,3.329,0.196344,NA,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,6,8,3,80,1,16.4,45.7,22.8,3.35,1.46690784,0.501094092,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,6,8,3,80,5,8,NA,NA,3.397,0.349056,NA,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,6,8,3,80,15,7.8,31.8,7.5,3.463,0.33182136,0.764150943,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,6,8,3,80,22,14.9,NA,NA,3.52,1.21084254,NA,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,6,8,3,80,21,5.6,25.1,11.4,3.528,0.17103744,0.545816733,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,6,8,3,80,24,11.5,NA,NA,3.53,0.7212915,NA,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,6,8,3,80,20,8.3,NA,NA,3.543,0.37572606,NA,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,6,8,3,80,12,6,NA,NA,3.596,0.196344,NA,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,6,8,3,80,18,10.8,NA,NA,3.627,0.63615456,NA,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,6,8,3,80,7,8.2,NA,NA,3.671,0.36672696,NA,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,6,8,3,80,25,20,69.9,22.2,3.722,2.1816,0.682403433,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,6,8,3,80,16,17.2,NA,NA,3.757,1.61351136,NA,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,6,8,3,80,8,18,66.5,20.4,3.991,1.767096,0.693233083,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,6,8,3,80,19,15,NA,NA,4.108,1.22715,NA,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,7,9,1,120,12,7.5,NA,NA,2.679,0.3067875,NA,143.061147,130.2011604,129.098907,125.5470804
FT,PIPO,7,9,1,120,18,10.7,NA,NA,2.874,0.62442846,NA,143.061147,130.2011604,129.098907,125.5470804
FT,PIPO,7,9,1,120,11,8.2,40.6,13.8,2.938,0.36672696,0.660098522,143.061147,130.2011604,129.098907,125.5470804
FT,PIPO,7,9,1,120,2,9.3,NA,NA,3.253,0.47171646,NA,143.061147,130.2011604,129.098907,125.5470804
FT,PIPO,7,9,1,120,7,10.1,NA,NA,3.26,0.55636254,NA,143.061147,130.2011604,129.098907,125.5470804
FT,PIPO,7,9,1,120,1,19.3,74,28,3.386,2.03156046,0.621621622,143.061147,130.2011604,129.098907,125.5470804
FT,PIPO,7,9,1,120,14,15.6,NA,NA,3.399,1.32728544,NA,143.061147,130.2011604,129.098907,125.5470804
FT,PIPO,7,9,1,120,10,6.5,NA,NA,3.509,0.2304315,NA,143.061147,130.2011604,129.098907,125.5470804
FT,PIPO,7,9,1,120,15,7.9,44,17.8,3.534,0.34038414,0.595454545,143.061147,130.2011604,129.098907,125.5470804
FT,PIPO,7,9,1,120,4,17,NA,NA,3.585,1.576206,NA,143.061147,130.2011604,129.098907,125.5470804
FT,PIPO,7,9,1,120,16,11.2,NA,NA,3.672,0.68414976,NA,143.061147,130.2011604,129.098907,125.5470804
