standtree, Y2002, Y1996,Y1956,Y1951
TW-14-212-2,1,0,0,0
TW-14-212-3,1,0,0,0
TW-14-212-4,1,0,0,0
TW-14-212-5,0,0,0,0
TW-14-212-6,0,0,0,0
TW-14-212-7,0,0,0,0
TW-14-212-45,1,0,0,0
TW-14-237-1,1,0,0,0
TW-14-237-2,1,0,0,0
TW-14-237-3,1,0,0,0
TW-14-237-4,1,0,0,0
TW-14-237-5,0,0,0,0
TW-14-237-6,0,0,0,0
TW-14-237-7,0,0,0,0
TW-14-237-8,0,0,0,0
TW-14-237-45,1,0,0,0
TW-15-36-1,0,0,0,0
TW-15-36-2,0,0,0,0
TW-15-36-3,0,0,0,0
TW-15-36-4,0,0,0,0
TW-15-36-5,0,0,0,0
TW-15-36-45,0,0,0,0
TW-15-76-1,0,0,0,0
TW-15-76-2,0,0,0,0
TW-15-76-3,0,0,0,0
TW-15-76-4,0,0,0,0
TW-15-76-5,0,0,0,0
TW-15-76-6,0,0,0,0
TW-15-76-7,0,0,0,0
TW-15-76-45,0,0,0,0
TW-15-139-1,1,0,0,0
TW-15-139-2,1,0,0,0
TW-15-139-3,0,0,0,0
TW-15-139-4,0,0,0,0
TW-15-139-5,0,0,0,0
TW-15-139-6,0,0,0,0
TW-15-139-45,1,0,0,0
TW-16-34-1,0,0,0,0
TW-16-34-2,0,0,0,0
TW-16-34-3,0,0,0,0
TW-16-34-4,0,0,0,0
TW-16-34-5,0,0,0,0
TW-16-34-6,0,0,0,0
TW-16-34-7,0,0,0,0
TW-16-34-8,0,0,0,0
TW-16-34-45,0,0,0,0
TW-16-44-1,0,0,0,0
TW-16-44-2,0,0,0,0
TW-16-44-3,0,0,0,0
TW-16-44-4,0,0,0,0
TW-16-44-5,0,0,0,0
TW-16-44-6,0,0,0,0
TW-16-44-7,0,0,0,0
TW-16-44-8,0,0,0,0
TW-16-44-9,1,0,0,0
TW-16-44-45,0,0,0,0
TW-16-55-1,0,0,0,0
TW-16-55-2,0,0,0,0
TW-16-55-3,1,0,0,0
TW-16-55-4,0,0,0,0
TW-16-55-5,0,0,0,0
TW-16-55-6,0,0,0,0
TW-16-55-7,0,0,0,0
TW-16-55-8,0,0,0,0
TW-16-55-45,0,0,0,0
TW-17-19-1,0,0,0,0
TW-17-19-2,0,0,0,0
TW-17-19-3,1,0,0,0
TW-17-19-4,1,0,0,0
TW-17-19-5,1,0,0,0
TW-17-19-7,1,0,0,0
TW-17-19-45,0,0,0,0
TW-17-117-1,1,0,0,0
TW-17-117-2,1,0,0,0
TW-17-117-3,1,0,0,0
TW-17-117-4,1,0,0,0
TW-17-117-5,0,0,0,0
TW-17-117-6,0,0,0,0
TW-17-117-7,0,0,0,0
TW-17-117-8,0,0,0,0
TW-17-117-45,0,0,0,0
TW-17-163-1,0,0,0,0
TW-17-163-2,1,0,0,0
TW-17-163-3,0,0,0,0
TW-17-163-4,1,0,0,0
TW-17-163-5,0,0,0,0
TW-17-163-6,0,0,0,0
TW-17-163-7,0,0,0,0
TW-17-163-45,0,0,0,0
TW-18-67-1,0,0,0,0
TW-18-67-2,0,0,0,0
TW-18-67-3,0,0,0,0
TW-18-67-4,0,0,0,0
TW-18-67-5,0,0,0,0
TW-18-67-6,0,0,0,0
TW-18-67-7,0,0,0,0
TW-18-67-8,0,0,0,0
TW-18-67-45,0,0,0,0
TW-18-111-1,0,0,0,0
TW-18-111-2,0,0,0,0
TW-18-111-3,0,0,0,0
TW-18-111-4,0,0,0,0
TW-18-111-5,0,0,0,0
TW-18-111-6,1,0,0,0
TW-18-111-7,1,0,0,0
TW-18-111-8,0,0,0,0
TW-18-111-45,0,0,0,0
TW-18-117-2,0,0,0,0
TW-18-117-3,0,0,0,0
TW-18-117-4,0,0,0,0
TW-18-117-5,0,0,0,0
TW-18-117-6,0,0,0,0
TW-18-117-7,0,0,0,0
TW-18-117-45,0,0,0,0
