"density"	"ring"	"newring"	"mm"	"cutoff"	"newEorL"	"boundary1"	"boundary2"
441.02	1	2	3.02999999999998	554.838	"EW"	3.91	"4.15"
447.29	1	2	3.04	554.838	"EW"	3.91	"4.15"
438.88	1	2	3.04999999999999	554.838	"EW"	3.91	"4.15"
426.17	1	2	3.05999999999998	554.838	"EW"	3.91	"4.15"
421.75	1	2	3.07	554.838	"EW"	3.91	"4.15"
415.84	1	2	3.07999999999999	554.838	"EW"	3.91	"4.15"
400.87	1	2	3.08999999999998	554.838	"EW"	3.91	"4.15"
406.54	1	2	3.1	554.838	"EW"	3.91	"4.15"
426.96	1	2	3.10999999999999	554.838	"EW"	3.91	"4.15"
425.46	1	2	3.11999999999999	554.838	"EW"	3.91	"4.15"
421.13	1	2	3.13	554.838	"EW"	3.91	"4.15"
412.15	1	2	3.14	554.838	"EW"	3.91	"4.15"
436.92	1	2	3.14999999999999	554.838	"EW"	3.91	"4.15"
432.64	1	2	3.16000000000001	554.838	"EW"	3.91	"4.15"
425.11	1	2	3.17	554.838	"EW"	3.91	"4.15"
439.24	1	2	3.17999999999999	554.838	"EW"	3.91	"4.15"
434.16	1	2	3.19000000000001	554.838	"EW"	3.91	"4.15"
420.6	1	2	3.2	554.838	"EW"	3.91	"4.15"
429.09	1	2	3.20999999999999	554.838	"EW"	3.91	"4.15"
428.38	1	2	3.21999999999998	554.838	"EW"	3.91	"4.15"
416.63	1	2	3.23	554.838	"EW"	3.91	"4.15"
440.93	1	2	3.23999999999999	554.838	"EW"	3.91	"4.15"
427.5	1	2	3.24999999999998	554.838	"EW"	3.91	"4.15"
427.5	1	2	3.26	554.838	"EW"	3.91	"4.15"
424.4	1	2	3.26999999999999	554.838	"EW"	3.91	"4.15"
422.28	1	2	3.27999999999998	554.838	"EW"	3.91	"4.15"
424.13	1	2	3.29	554.838	"EW"	3.91	"4.15"
436.65	1	2	3.29999999999999	554.838	"EW"	3.91	"4.15"
424.66	1	2	3.30999999999998	554.838	"EW"	3.91	"4.15"
422.28	1	2	3.32	554.838	"EW"	3.91	"4.15"
430.25	1	2	3.32999999999999	554.838	"EW"	3.91	"4.15"
438.79	1	2	3.33999999999998	554.838	"EW"	3.91	"4.15"
429.18	1	2	3.35	554.838	"EW"	3.91	"4.15"
422.98	1	2	3.35999999999999	554.838	"EW"	3.91	"4.15"
443.71	1	2	3.36999999999999	554.838	"EW"	3.91	"4.15"
427.5	2	2	3.38	486.42	"EW"	3.91	"4.15"
420.69	2	2	3.39	486.42	"EW"	3.91	"4.15"
412.77	2	2	3.39999999999999	486.42	"EW"	3.91	"4.15"
417.87	2	2	3.41000000000001	486.42	"EW"	3.91	"4.15"
416.9	2	2	3.42	486.42	"EW"	3.91	"4.15"
414	2	2	3.42999999999999	486.42	"EW"	3.91	"4.15"
420.07	2	2	3.44000000000001	486.42	"EW"	3.91	"4.15"
421.83	2	2	3.45	486.42	"EW"	3.91	"4.15"
404.36	2	2	3.45999999999999	486.42	"EW"	3.91	"4.15"
409.87	2	2	3.46999999999998	486.42	"EW"	3.91	"4.15"
416.55	2	2	3.48	486.42	"EW"	3.91	"4.15"
413.38	2	2	3.48999999999999	486.42	"EW"	3.91	"4.15"
394.95	2	2	3.49999999999998	486.42	"EW"	3.91	"4.15"
420.6	2	2	3.51	486.42	"EW"	3.91	"4.15"
410.22	2	2	3.51999999999999	486.42	"EW"	3.91	"4.15"
