[SAMPLE PARAMETERS]
Time/Date of Scan,          28-Feb-2018   16:16:19
Study ID,                   WQA
Sample ID,                  TW-1-44-2
File Name,                  TW-1-44-2
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2016
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
  350,   6.850, 725.14, 85,L, 4.6130
  351,   6.860, 709.25, 85,L, 4.6619
  352,   6.870, 679.03, 85,L, 4.7562
  353,   6.880, 662.27, 85,L, 4.8093
  354,   6.890, 627.06, 85,L, 4.9228
  355,   6.900, 582.27, 85,L, 5.0711
  356,   6.910, 510.62, 85,L, 5.3177
  357,   6.920, 493.91, 85,L, 5.3769
  358,   6.930, 456.52, 85,L, 5.5118
  359,   6.940, 457.44, 85,L, 5.5084
  360,   6.950, 429.03, 85,L, 5.6131
  361,   6.960, 436.18, 85,L, 5.5865
  362,   6.970, 418.40, 85,E, 5.6528
  363,   6.980, 427.80, 85,L, 5.6177
  364,   6.990, 388.55, 85,E, 5.7657
  365,   7.000, 405.66, 85,E, 5.7007
  366,   7.010, 419.21, 85,E, 5.6497
  367,   7.020, 393.99, 85,E, 5.7449
  368,   7.030, 390.47, 85,E, 5.7584
  369,   7.040, 406.07, 85,E, 5.6992
  370,   7.050, 383.53, 85,E, 5.7849
  371,   7.060, 394.31, 85,E, 5.7437
  372,   7.070, 382.49, 85,E, 5.7889
  373,   7.080, 385.60, 85,E, 5.7770
  374,   7.090, 400.82, 85,E, 5.7190
  375,   7.100, 395.03, 85,E, 5.7410
  376,   7.110, 376.54, 85,E, 5.8118
  377,   7.120, 375.90, 85,E, 5.8142
  378,   7.130, 366.51, 85,E, 5.8505
  379,   7.140, 375.98, 85,E, 5.8139
  380,   7.150, 361.63, 85,E, 5.8694
  381,   7.160, 385.12, 85,E, 5.7788
  382,   7.170, 374.16, 85,E, 5.8209
  383,   7.180, 356.31, 85,E, 5.8902
  384,   7.190, 371.55, 85,E, 5.8310
  385,   7.200, 383.13, 85,E, 5.7864
  386,   7.210, 379.31, 85,E, 5.8011
  387,   7.220, 370.92, 85,E, 5.8334
  388,   7.230, 361.63, 85,E, 5.8694
  389,   7.240, 355.92, 85,E, 5.8917
  390,   7.250, 357.25, 85,E, 5.8865
  391,   7.260, 358.50, 85,E, 5.8817
  392,   7.270, 336.73, 85,E, 5.9671
  393,   7.280, 334.19, 85,E, 5.9772
  394,   7.290, 371.87, 85,E, 5.8298
  395,   7.300, 357.40, 85,E, 5.8859
  396,   7.310, 338.97, 85,E, 5.9583
  397,   7.320, 335.19, 85,E, 5.9732
  398,   7.330, 341.76, 85,E, 5.9473
  399,   7.340, 341.29, 85,E, 5.9491
  400,   7.350, 329.11, 85,E, 5.9973
  401,   7.360, 333.19, 85,E, 5.9811
  402,   7.370, 343.23, 85,E, 5.9415
  403,   7.380, 346.72, 85,E, 5.9277
  404,   7.390, 329.34, 85,E, 5.9964
  405,   7.400, 314.74, 85,E, 6.0547
  406,   7.410, 351.16, 85,E, 5.9103
  407,   7.420, 342.30, 85,E, 5.9451
  408,   7.430, 335.19, 85,E, 5.9732
  409,   7.440, 310.49, 85,E, 6.0718
  410,   7.450, 330.72, 85,E, 5.9909
  411,   7.460, 335.50, 85,E, 5.9720
  412,   7.470, 334.42, 85,E, 5.9763
  413,   7.480, 336.19, 85,E, 5.9692
  414,   7.490, 321.45, 85,E, 6.0278
  415,   7.500, 314.44, 85,E, 6.0559
  416,   7.510, 312.69, 85,E, 6.0629
  417,   7.520, 331.03, 85,E, 5.9897
  418,   7.530, 328.65, 85,E, 5.9991
  419,   7.540, 297.42, 85,E, 6.1246
  420,   7.550, 324.28, 85,E, 6.0165
  421,   7.560, 320.31, 85,E, 6.0324
  422,   7.570, 321.60, 85,E, 6.0272
  423,   7.580, 308.82, 85,E, 6.0785
  424,   7.590, 306.25, 85,E, 6.0889
  425,   7.600, 310.72, 85,E, 6.0709
  426,   7.610, 312.39, 85,E, 6.0641
  427,   7.620, 309.05, 85,E, 6.0776
  428,   7.630, 286.11, 85,E, 6.1707
  429,   7.640, 277.55, 85,E, 6.2057
  430,   7.650, 284.02, 85,E, 6.1792
  431,   7.660, 330.19, 85,E, 5.9930
  432,   7.670, 311.17, 85,E, 6.0690
  433,   7.680, 291.05, 85,E, 6.1505
  434,   7.690, 263.00, 85,E, 6.2659
  435,   7.700, 291.20, 85,E, 6.1499
  436,   7.710, 282.01, 85,E, 6.1874
  437,   7.720, 335.27, 85,E, 5.9729
  438,   7.730, 323.21, 85,E, 6.0208
  439,   7.740, 309.35, 85,E, 6.0764
  440,   7.750, 291.27, 85,E, 6.1496
  441,   7.760, 311.55, 85,E, 6.0675
  442,   7.770, 296.30, 85,E, 6.1292
  443,   7.780, 323.52, 85,E, 6.0196
  444,   7.790, 292.32, 85,E, 6.1453
  445,   7.800, 309.43, 85,E, 6.0760
  446,   7.810, 299.38, 85,E, 6.1166
  447,   7.820, 300.06, 85,E, 6.1139
  448,   7.830, 332.80, 85,E, 5.9827
  449,   7.840, 318.86, 85,E, 6.0382
  450,   7.850, 307.53, 85,E, 6.0837
  451,   7.860, 288.13, 85,E, 6.1624
  452,   7.870, 300.06, 85,E, 6.1139
  453,   7.880, 325.89, 85,E, 6.0101
  454,   7.890, 334.73, 85,E, 5.9750
  455,   7.900, 342.84, 85,E, 5.9430
  456,   7.910, 368.32, 85,E, 5.8435
  457,   7.920, 406.15, 85,E, 5.6989
  458,   7.930, 500.43, 84,L, 5.3537
  459,   7.940, 589.00, 84,L, 5.0485
  460,   7.950, 642.58, 84,L, 4.8724
  461,   7.960, 665.53, 84,L, 4.7989
  462,   7.970, 676.61, 84,L, 4.7638
  463,   7.980, 694.80, 84,L, 4.7067
  464,   7.990, 704.32, 84,L, 4.6771
  465,   8.000, 708.46, 84,L, 4.6643
  466,   8.010, 730.14, 84,L, 4.5978
  467,   8.020, 705.11, 84,L, 4.6747
  468,   8.030, 708.36, 84,L, 4.6646
  469,   8.040, 722.25, 84,L, 4.6219
  470,   8.050, 700.19, 84,L, 4.6899
  471,   8.060, 663.04, 84,L, 4.8068
  472,   8.070, 643.05, 84,L, 4.8709
  473,   8.080, 618.39, 84,L, 4.9512
  474,   8.090, 591.19, 84,L, 5.0412
  475,   8.100, 567.18, 84,L, 5.1221
  476,   8.110, 506.55, 84,L, 5.3320
  477,   8.120, 519.21, 84,L, 5.2875
  478,   8.130, 520.96, 84,L, 5.2814
  479,   8.140, 486.47, 84,L, 5.4034
  480,   8.150, 475.69, 84,L, 5.4422
  481,   8.160, 474.00, 84,L, 5.4483
  482,   8.170, 469.10, 84,L, 5.4660
  483,   8.180, 456.85, 84,L, 5.5106
  484,   8.190, 455.43, 84,L, 5.5157
  485,   8.200, 472.48, 84,L, 5.4538
  486,   8.210, 492.11, 84,L, 5.3833
  487,   8.220, 465.40, 84,L, 5.4794
  488,   8.230, 464.89, 84,L, 5.4813
  489,   8.240, 426.65, 84,L, 5.6219
  490,   8.250, 449.93, 84,L, 5.5359
  491,   8.260, 435.11, 84,L, 5.5905
  492,   8.270, 454.01, 84,L, 5.5209
  493,   8.280, 456.35, 84,L, 5.5124
  494,   8.290, 448.10, 84,L, 5.5426
  495,   8.300, 440.23, 84,L, 5.5716
  496,   8.310, 433.71, 84,L, 5.5957
  497,   8.320, 411.16, 84,E, 5.6799
  498,   8.330, 415.55, 84,E, 5.6635
  499,   8.340, 410.19, 84,E, 5.6836
  500,   8.350, 397.36, 84,E, 5.7321
  501,   8.360, 402.27, 84,E, 5.7135
  502,   8.370, 396.32, 84,E, 5.7361
  503,   8.380, 404.69, 84,E, 5.7043
  504,   8.390, 435.28, 84,L, 5.5899
  505,   8.400, 455.51, 84,L, 5.5154
  506,   8.410, 458.36, 84,L, 5.5051
  507,   8.420, 440.23, 84,L, 5.5716
  508,   8.430, 412.06, 84,E, 5.6766
  509,   8.440, 425.83, 84,L, 5.6250
