[SAMPLE PARAMETERS]
Time/Date of Scan,          12-Mar-2018   15:36:19
Study ID,                   WQA
Sample ID,                  TW-18-67-4
File Name,                  TW-18-67-4
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2016
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
  451,  10.470, 258.99, 58,E, 6.0043
  452,  10.480, 257.70, 58,E, 6.0095
  453,  10.490, 261.26, 58,E, 5.9952
  454,  10.500, 273.06, 58,E, 5.9479
  455,  10.510, 277.73, 58,E, 5.9293
  456,  10.520, 266.35, 58,E, 5.9747
  457,  10.530, 243.69, 58,E, 6.0663
  458,  10.540, 247.37, 58,E, 6.0513
  459,  10.550, 274.05, 58,E, 5.9439
  460,  10.560, 266.27, 58,E, 5.9750
  461,  10.570, 267.72, 58,E, 5.9692
  462,  10.580, 260.05, 58,E, 6.0001
  463,  10.590, 252.19, 58,E, 6.0318
  464,  10.600, 261.49, 58,E, 5.9943
  465,  10.610, 266.12, 58,E, 5.9756
  466,  10.620, 254.98, 58,E, 6.0205
  467,  10.630, 247.07, 58,E, 6.0526
  468,  10.640, 255.28, 58,E, 6.0193
  469,  10.650, 287.73, 58,E, 5.8896
  470,  10.660, 283.57, 58,E, 5.9061
  471,  10.670, 268.48, 58,E, 5.9662
  472,  10.680, 259.74, 58,E, 6.0013
  473,  10.690, 256.19, 58,E, 6.0156
  474,  10.700, 281.64, 58,E, 5.9137
  475,  10.710, 253.24, 58,E, 6.0275
  476,  10.720, 246.17, 58,E, 6.0562
  477,  10.730, 248.20, 58,E, 6.0480
  478,  10.740, 274.21, 58,E, 5.9433
  479,  10.750, 294.46, 58,E, 5.8630
  480,  10.760, 266.50, 58,E, 5.9741
  481,  10.770, 276.96, 58,E, 5.9323
  482,  10.780, 260.42, 58,E, 5.9985
  483,  10.790, 257.93, 58,E, 6.0086
  484,  10.800, 253.32, 58,E, 6.0272
  485,  10.810, 265.13, 58,E, 5.9796
  486,  10.820, 264.52, 58,E, 5.9821
  487,  10.830, 255.13, 58,E, 6.0199
  488,  10.840, 267.03, 58,E, 5.9720
  489,  10.850, 266.27, 58,E, 5.9750
  490,  10.860, 265.82, 58,E, 5.9769
  491,  10.870, 253.47, 58,E, 6.0266
  492,  10.880, 260.20, 58,E, 5.9995
  493,  10.890, 271.76, 58,E, 5.9531
  494,  10.900, 257.09, 58,E, 6.0120
  495,  10.910, 250.30, 58,E, 6.0394
  496,  10.920, 258.99, 58,E, 6.0043
  497,  10.930, 282.80, 58,E, 5.9091
  498,  10.940, 292.29, 58,E, 5.8716
  499,  10.950, 267.03, 58,E, 5.9720
  500,  10.960, 234.88, 58,E, 6.1023
  501,  10.970, 268.94, 58,E, 5.9644
  502,  10.980, 277.88, 58,E, 5.9286
  503,  10.990, 261.33, 58,E, 5.9949
  504,  11.000, 247.97, 58,E, 6.0489
  505,  11.010, 268.63, 58,E, 5.9656
  506,  11.020, 282.11, 58,E, 5.9119
  507,  11.030, 264.98, 58,E, 5.9802
  508,  11.040, 250.45, 58,E, 6.0388
  509,  11.050, 251.13, 58,E, 6.0361
  510,  11.060, 256.04, 58,E, 6.0162
  511,  11.070, 255.73, 58,E, 6.0175
  512,  11.080, 255.36, 58,E, 6.0190
  513,  11.090, 240.77, 58,E, 6.0782
  514,  11.100, 258.68, 58,E, 6.0056
  515,  11.110, 242.87, 58,E, 6.0696
  516,  11.120, 248.95, 58,E, 6.0449
  517,  11.130, 275.43, 58,E, 5.9384
  518,  11.140, 240.10, 58,E, 6.0809
  519,  11.150, 247.15, 58,E, 6.0522
  520,  11.160, 237.79, 58,E, 6.0904
  521,  11.170, 256.79, 58,E, 6.0132
  522,  11.180, 262.02, 58,E, 5.9921
  523,  11.190, 254.83, 58,E, 6.0211
  524,  11.200, 233.46, 58,E, 6.1081
  525,  11.210, 243.02, 58,E, 6.0690
  526,  11.220, 252.94, 58,E, 6.0287
  527,  11.230, 254.83, 58,E, 6.0211
  528,  11.240, 267.79, 58,E, 5.9689
  529,  11.250, 250.83, 58,E, 6.0373
  530,  11.260, 252.87, 58,E, 6.0291
  531,  11.270, 226.04, 58,E, 6.1386
  532,  11.280, 246.55, 58,E, 6.0547
  533,  11.290, 233.39, 58,E, 6.1084
  534,  11.300, 250.38, 58,E, 6.0391
  535,  11.310, 250.83, 58,E, 6.0373
  536,  11.320, 213.43, 58,E, 6.1908
  537,  11.330, 224.19, 58,E, 6.1462
  538,  11.340, 260.35, 58,E, 5.9988
